Special_Education,Fine_Motor_Skill,Reading_Score,Math_Score,Attention_level,Problem_Solving,SadLonely,Externalizing,Internalizing,Gender,White,SES
1.0,6.0,50.86,42.03,1.0,2.0,1.25,1.0,1.25,1.0,2.0,-0.81
0.0,6.0,88.35,64.88,4.0,2.0,1.75,1.8,1.25,2.0,2.0,0.18
1.0,3.0,49.87,39.49,2.0,3.0,2.0,3.8,3.25,1.0,2.0,-0.49
0.0,6.0,129.54,70.39,1.0,2.0,2.5,1.8,2.0,1.0,2.0,0.6
1.0,8.0,55.2,35.37,3.0,4.0,1.75,1.0,2.0,2.0,2.0,0.03
0.0,4.0,86.8,53.12,2.0,2.0,2.25,2.4,2.0,2.0,2.0,0.07
0.0,7.0,103.82,37.67,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.37
0.0,8.0,81.49,49.22,1.0,1.0,1.5,2.0,2.0,1.0,2.0,0.05
0.0,4.0,63.88,39.37,2.0,3.0,1.75,1.0,2.0,2.0,1.0,0.23
0.0,8.0,73.77,63.57,1.0,2.0,1.25,1.6,1.5,2.0,1.0,0.04
0.0,8.0,66.1,43.24,2.0,2.0,1.25,2.2,2.25,2.0,2.0,-0.71
0.0,7.0,129.82,63.89,2.0,2.0,1.0,1.6,2.0,1.0,2.0,0.25
0.0,6.0,47.23,55.27,2.0,1.0,1.5,1.2,1.25,1.0,1.0,-0.28
0.0,7.0,104.41,94.28,2.0,1.0,1.25,2.2,1.25,2.0,1.0,1.22
0.0,6.0,129.1,77.09,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.69
0.0,5.0,64.59,49.82,3.0,3.0,2.0,2.8,3.0,1.0,1.0,1.01
0.0,6.0,51.48,41.51,2.0,1.0,1.25,1.8,1.75,1.0,1.0,0.86
0.0,7.0,65.7,56.78,1.0,2.0,1.25,2.2,2.0,2.0,1.0,1.49
0.0,5.0,113.24,66.67,3.0,1.0,2.0,2.4,1.75,1.0,1.0,1.01
0.0,7.0,78.43,55.35,1.0,1.0,1.25,1.8,1.25,1.0,1.0,0.21
0.0,7.0,109.16,64.97,2.0,2.0,1.0,3.25,2.0,1.0,2.0,-0.09
0.0,9.0,85.12,38.87,2.0,2.0,2.25,1.8,2.0,2.0,2.0,-0.94
0.0,6.0,50.13,53.31,2.0,2.0,1.0,1.4,1.0,2.0,2.0,-1.12
